question,expected_answer,generated_answer,status,confidence,verification,similarity_score,num_citations,response_time,retrieval_time,generation_time,manual_correctness,notes
What problem does the paper 'When Do Early-Exit Networks Generalize? A PAC-Bayesian Theory of Adaptive Depth' address?,"When Do Early-Exit Networks Generalize? A PAC-Bayesian Theory of Adaptive Depth

Early-exit neural n...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.103,0,0.08366894721984863,0.08366894721984863,0,,
What problem does the paper 'WavAlign: Enhancing Intelligence and Expressiveness in Spoken Dialogue Models via Adaptive Hybrid Post-Training' address?,WavAlign: Enhancing Intelligence and Expressiveness in Spoken Dialogue Models via Adaptive Hybrid Po...,No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.088,0,0.058110952377319336,0.05810976028442383,0,,
What problem does the paper 'When Fairness Metrics Disagree: Evaluating the Reliability of Demographic Fairness Assessment in Machine Learning' address?,When Fairness Metrics Disagree: Evaluating the Reliability of Demographic Fairness Assessment in Mac...,No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.114,0,0.6048858165740967,0.6048548221588135,0,,
What problem does the paper 'NeuroLip: An Event-driven Spatiotemporal Learning Framework for Cross-Scene Lip-Motion-based Visual Speaker Recognition' address?,NeuroLip: An Event-driven Spatiotemporal Learning Framework for Cross-Scene Lip-Motion-based Visual ...,No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.092,0,0.31061387062072754,0.31061387062072754,0,,
What problem does the paper 'Dual-Axis Generative Reward Model Toward Semantic and Turn-taking Robustness in Interactive Spoken Dialogue Models' address?,Dual-Axis Generative Reward Model Toward Semantic and Turn-taking Robustness in Interactive Spoken D...,No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.118,0,0.7191851139068604,0.7191851139068604,0,,
What problem does the paper 'Hybrid Decision Making via Conformal VLM-generated Guidance' address?,"Hybrid Decision Making via Conformal VLM-generated Guidance

Building on recent advances in AI, hybr...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.099,0,0.18828177452087402,0.18828082084655762,0,,
What problem does the paper 'Beyond a Single Frame: Multi-Frame Spatially Grounded Reasoning Across Volumetric MRI' address?,"Beyond a Single Frame: Multi-Frame Spatially Grounded Reasoning Across Volumetric MRI

Spatial reaso...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.077,0,0.26708316802978516,0.26708316802978516,0,,
What problem does the paper 'IG-Search: Step-Level Information Gain Rewards for Search-Augmented Reasoning' address?,"IG-Search: Step-Level Information Gain Rewards for Search-Augmented Reasoning

Reinforcement learnin...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.11,0,0.0499420166015625,0.0499420166015625,0,,
What problem does the paper 'Bilevel Optimization of Agent Skills via Monte Carlo Tree Search' address?,"Bilevel Optimization of Agent Skills via Monte Carlo Tree Search

Agent \texttt{skills} are structur...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.088,0,0.22336578369140625,0.22336578369140625,0,,
What problem does the paper 'DepCap: Adaptive Block-Wise Parallel Decoding for Efficient Diffusion LM Inference' address?,"DepCap: Adaptive Block-Wise Parallel Decoding for Efficient Diffusion LM Inference

Diffusion langua...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.07,0,0.025879621505737305,0.025879621505737305,0,,
